 ,XM,YM
1079,868.939,742.174
1080,1155.456,741.324
1081,692.901,745.495
1082,742.798,745.521
1083,315.570,745.226
1084,422.248,746.017
1085,650.596,748.449
1086,785.150,748.460
1087,610.576,749.128
1088,825.128,749.141
1089,474.730,753.270
1090,526.455,753.311
1091,909.158,753.228
1092,961.030,753.178
1093,243.707,755.640
1094,552.615,753.385
1095,586.343,755.171
1096,849.442,755.201
1097,883.110,753.400
1098,435.000,755.000
1099,338.014,756.915
1100,1003.167,756.455
1101,1129.627,757.359
1102,397.130,760.038
1103,1178.537,764.041
1104,656.966,765.114
1105,778.792,765.140
1106,680.307,767.247
1107,755.382,767.355
1108,354.821,770.500
1109,286.497,776.726
1110,435.003,772.607
1111,1127.980,774.547
1112,1076.731,778.143
1113,334.392,779.635
1114,249.614,779.447
1115,365.500,778.815
1116,1007.441,781.195
1117,394.000,782.500
1118,579.354,784.218
1119,680.599,789.558
1120,703.289,783.876
1121,732.500,784.000
1122,755.023,789.492
1123,856.452,784.129
1124,1176.017,783.917
1125,604.000,785.500
1126,801.833,785.744
1127,831.697,785.571
1128,1031.466,785.963
1129,499.794,788.322
1130,633.754,785.795
1131,654.500,785.896
1132,781.306,785.833
1133,935.770,788.426
1134,555.918,789.301
1135,879.868,789.375
1136,270.122,790.293
1137,1064.567,789.923
1138,433.429,797.315
1139,1091.268,793.612
1140,998.931,793.146
1141,313.664,798.794
1142,643.484,799.251
1143,792.284,799.379
1144,1123.772,796.564
1145,382.957,799.618
1146,332.815,800.554
1147,537.331,800.944
1148,898.292,801.020
1149,1170.138,801.000
1150,717.929,802.247
1151,413.223,805.708
1152,1152.883,809.048
1153,608.730,810.270
1154,827.041,810.356
1155,679.354,811.598
1156,756.175,811.484
1157,995.138,811.000
1158,256.663,812.500
1159,1103.382,812.618
1160,581.669,813.944
1161,854.118,814.012
1162,557.587,815.987
1163,645.948,815.241
1164,789.822,815.161
1165,878.120,815.937
1166,378.107,817.966
1167,717.850,829.752
1168,325.095,818.905
1169,485.003,821.486
1170,950.733,821.467
1171,530.164,822.756
1172,905.595,822.738
1173,1003.609,824.182
1174,1098.194,833.145
1175,985.609,827.182
1176,1171.000,826.000
1177,347.541,828.896
1178,682.037,828.963
1179,753.598,828.877
1180,646.115,830.047
1181,789.358,830.040
1182,265.480,832.547
1183,1019.777,831.295
1184,442.865,833.413
1185,403.175,836.063
1186,584.932,836.068
1187,850.885,836.047
1188,1038.897,837.971
1189,559.858,837.658
1190,607.836,837.719
1191,827.767,837.767
1192,876.000,837.683
1193,315.442,839.693
1194,976.769,842.164
1195,681.298,843.316
1196,754.343,843.343
1197,647.586,847.119
1198,788.084,847.208
1199,1164.085,847.520
1200,286.198,849.569
1201,542.254,849.851
1202,893.433,849.784
1203,1087.000,851.265
1204,671.477,854.578
1205,764.143,854.516
1206,400.310,858.018
1207,692.257,856.914
1208,743.374,856.950
1209,968.070,857.723
1210,634.934,858.172
1211,801.024,858.266
1212,334.933,858.933
1213,422.609,859.228
1214,599.866,859.241
1215,835.866,859.241
1216,1064.614,858.129
1217,1140.087,868.273
1218,567.566,861.787
1219,868.135,861.850
1220,513.469,863.525
1221,717.853,863.607
1222,922.425,863.469
1223,455.351,866.958
1224,1090.586,872.141
1225,959.317,875.133
1226,283.347,877.659
1227,354.871,877.452
1228,1160.953,878.115
1229,1073.593,878.852
1230,404.380,887.144
1231,430.740,884.539
1232,710.661,888.448
1233,1104.325,883.617
1234,594.612,887.418
1235,841.077,887.392
1236,472.822,888.764
1237,942.371,894.877
1238,1141.504,894.100
1239,641.365,891.207
1240,794.530,891.239
1241,734.116,893.017
1242,967.631,893.741
1243,1118.254,897.963
1244,380.167,894.833
1245,277.143,901.886
1246,480.633,906.038
1247,536.000,902.907
1248,654.941,904.074
1249,780.866,904.164
1250,899.847,902.898
1251,1105.592,903.258
1252,1001.145,913.028
1253,1058.709,903.604
1254,416.404,907.644
1255,694.130,908.681
1256,741.581,908.522
1257,602.569,909.637
1258,833.055,909.586
1259,634.236,910.178
1260,801.500,910.221
1261,576.695,912.026
1262,859.016,912.041
1263,495.643,914.410
1264,923.694,916.161
1265,388.286,915.937
1266,1048.585,919.873
1267,1093.492,923.284
1268,287.380,924.828
1269,463.045,925.486
1270,394.029,928.524
1271,1133.083,928.017
1272,659.094,929.109
1273,776.616,929.043
1274,625.819,932.217
1275,684.883,932.048
1276,750.932,932.068
1277,809.952,932.117
1278,564.046,934.126
1279,871.759,934.185
1280,521.500,933.000
1281,1028.888,936.654
1282,1043.500,935.896
1283,407.956,937.660
1284,609.033,937.887
1285,826.529,937.843
1286,449.331,940.591
1287,671.255,943.511
1288,764.253,943.478
1289,1073.010,941.198
1290,1056.159,943.576
1291,507.081,945.731
1292,947.411,946.021
1293,297.637,947.729
1294,370.940,946.836
1295,536.622,947.700
1296,1012.596,953.602
1297,1123.527,950.836
1298,925.500,951.500
1299,1069.500,953.314
1300,432.341,955.528
1301,495.584,958.920
1302,557.628,962.508
1303,347.900,963.734
1304,866.323,965.439
1305,313.595,964.957
1306,966.610,965.559
1307,534.206,967.283
1308,576.925,966.337
1309,1107.270,967.724
1310,521.500,964.500
1311,996.519,970.513
1312,834.141,971.378
1313,918.479,977.717
1314,454.129,974.416
1315,397.387,977.213
1316,512.546,976.846
1317,486.271,977.142
1318,979.191,977.765
1319,375.593,977.852
1320,412.797,980.662
1321,596.034,980.462
1322,1076.025,981.543
1323,718.349,981.390
1324,818.143,983.440
1325,331.695,985.621
1326,674.396,984.239
1327,761.368,984.162
1328,898.366,984.246
1329,563.933,986.537
1330,649.887,984.916
